area,station,component,dateTime,value
Drammen,Backeparken,PM2.5,2020-10-05T00:00:00+01:00,4.9958333333
Drammen,Backeparken,PM2.5,2020-10-06T00:00:00+01:00,4.4833333333
Drammen,Backeparken,PM2.5,2020-10-07T00:00:00+01:00,6.2416666667
Drammen,Backeparken,PM2.5,2020-10-08T00:00:00+01:00,4.7625
Drammen,Backeparken,PM2.5,2020-10-09T00:00:00+01:00,2.1708333333
Drammen,Backeparken,PM2.5,2020-10-10T00:00:00+01:00,2.3791666667
Drammen,Backeparken,PM2.5,2020-10-11T00:00:00+01:00,1.6875
Drammen,Backeparken,PM2.5,2020-10-12T00:00:00+01:00,3.7708333333
Drammen,Backeparken,PM2.5,2020-10-13T00:00:00+01:00,4.7083333333
Drammen,Backeparken,PM2.5,2020-10-14T00:00:00+01:00,4.0833333333
Drammen,Backeparken,PM2.5,2020-10-15T00:00:00+01:00,6.1458333333
Drammen,Backeparken,PM2.5,2020-10-16T00:00:00+01:00,8.0833333333
Drammen,Backeparken,PM2.5,2020-10-17T00:00:00+01:00,8.0375
Drammen,Backeparken,PM2.5,2020-10-18T00:00:00+01:00,2.1541666667
Drammen,Backeparken,PM2.5,2020-10-19T00:00:00+01:00,6.5791666667
Drammen,Backeparken,PM2.5,2020-10-20T00:00:00+01:00,3.9291666667
Drammen,Backeparken,PM2.5,2020-10-21T00:00:00+01:00,3.8583333333
Drammen,Backeparken,PM2.5,2020-10-22T00:00:00+01:00,3.2
Drammen,Backeparken,PM2.5,2020-10-23T00:00:00+01:00,2.3625
Drammen,Backeparken,PM2.5,2020-10-24T00:00:00+01:00,4.6833333333
Drammen,Backeparken,PM2.5,2020-10-25T00:00:00+01:00,3.8708333333
Drammen,Backeparken,PM2.5,2020-10-26T00:00:00+01:00,5.6583333333
Drammen,Backeparken,PM2.5,2020-10-27T00:00:00+01:00,6.6583333333
Drammen,Backeparken,PM2.5,2020-10-28T00:00:00+01:00,5.275
Drammen,Backeparken,PM2.5,2020-10-29T00:00:00+01:00,7.6875
Drammen,Backeparken,PM2.5,2020-10-30T00:00:00+01:00,5.825
Drammen,Backeparken,PM2.5,2020-10-31T00:00:00+01:00,3.5375
Drammen,Backeparken,PM2.5,2020-11-01T00:00:00+01:00,3.4875
Drammen,Backeparken,PM2.5,2020-11-02T00:00:00+01:00,4.0416666667
Drammen,Backeparken,PM2.5,2020-11-03T00:00:00+01:00,4.8
Drammen,Backeparken,PM2.5,2020-11-04T00:00:00+01:00,8.325
Drammen,Backeparken,PM2.5,2020-11-05T00:00:00+01:00,4.2416666667
Drammen,Backeparken,PM2.5,2020-11-06T00:00:00+01:00,7.2
Drammen,Backeparken,PM2.5,2020-11-07T00:00:00+01:00,10.45
Drammen,Backeparken,PM2.5,2020-11-08T00:00:00+01:00,7.2166666667
Drammen,Backeparken,PM2.5,2020-11-09T00:00:00+01:00,6.4666666667
Drammen,Backeparken,PM2.5,2020-11-10T00:00:00+01:00,9.2875
Drammen,Backeparken,PM2.5,2020-11-11T00:00:00+01:00,10.2833333333
Drammen,Backeparken,PM2.5,2020-11-12T00:00:00+01:00,3.7833333333
Drammen,Backeparken,PM2.5,2020-11-13T00:00:00+01:00,4.725
Drammen,Backeparken,PM2.5,2020-11-14T00:00:00+01:00,6.9583333333
Drammen,Backeparken,PM2.5,2020-11-15T00:00:00+01:00,7.8291666667
Drammen,Backeparken,PM2.5,2020-11-16T00:00:00+01:00,5.1291666667
Drammen,Backeparken,PM2.5,2020-11-17T00:00:00+01:00,8.3291666667
Drammen,Backeparken,PM2.5,2020-11-18T00:00:00+01:00,3.6
Drammen,Backeparken,PM2.5,2020-11-19T00:00:00+01:00,1.6916666667
Drammen,Backeparken,PM2.5,2020-11-20T00:00:00+01:00,14.6333333333
Drammen,Backeparken,PM2.5,2020-11-21T00:00:00+01:00,3.7083333333
Drammen,Backeparken,PM2.5,2020-11-22T00:00:00+01:00,4.7208333333
Drammen,Backeparken,PM2.5,2020-11-23T00:00:00+01:00,13.6476190476
Drammen,Backeparken,PM2.5,2020-11-24T00:00:00+01:00,33.1083333333
Drammen,Backeparken,PM2.5,2020-11-25T00:00:00+01:00,9.8125
Drammen,Backeparken,PM2.5,2020-11-26T00:00:00+01:00,7.5083333333
Drammen,Backeparken,PM2.5,2020-11-27T00:00:00+01:00,10.4375
Drammen,Backeparken,PM2.5,2020-11-28T00:00:00+01:00,13.6125
Drammen,Backeparken,PM2.5,2020-11-29T00:00:00+01:00,13.7125
Drammen,Backeparken,PM2.5,2020-11-30T00:00:00+01:00,20.5375
Drammen,Backeparken,PM2.5,2020-12-01T00:00:00+01:00,13.6416666667
Drammen,Backeparken,PM2.5,2020-12-02T00:00:00+01:00,14.5708333333
Drammen,Backeparken,PM2.5,2020-12-03T00:00:00+01:00,23.425
Drammen,Backeparken,PM2.5,2020-12-04T00:00:00+01:00,12.35
Drammen,Backeparken,PM2.5,2020-12-05T00:00:00+01:00,12.7041666667
Drammen,Backeparken,PM2.5,2020-12-06T00:00:00+01:00,9.1041666667
Drammen,Backeparken,PM2.5,2020-12-07T00:00:00+01:00,3.35
Drammen,Backeparken,PM2.5,2020-12-08T00:00:00+01:00,2.2375
Drammen,Backeparken,PM2.5,2020-12-09T00:00:00+01:00,9.1291666667
Drammen,Backeparken,PM2.5,2020-12-10T00:00:00+01:00,5.4125
Drammen,Backeparken,PM2.5,2020-12-11T00:00:00+01:00,5.45
Drammen,Backeparken,PM2.5,2020-12-12T00:00:00+01:00,7.7291666667
Drammen,Backeparken,PM2.5,2020-12-13T00:00:00+01:00,7.5333333333
Drammen,Backeparken,PM2.5,2020-12-14T00:00:00+01:00,4.3958333333
Drammen,Backeparken,PM2.5,2020-12-15T00:00:00+01:00,4.6
Drammen,Backeparken,PM2.5,2020-12-16T00:00:00+01:00,6.0833333333
Drammen,Backeparken,PM2.5,2020-12-17T00:00:00+01:00,7.9291666667
Drammen,Backeparken,PM2.5,2020-12-18T00:00:00+01:00,6.8583333333
Drammen,Backeparken,PM2.5,2020-12-19T00:00:00+01:00,9.5333333333
Drammen,Backeparken,PM2.5,2020-12-20T00:00:00+01:00,6.2541666667
Drammen,Backeparken,PM2.5,2020-12-21T00:00:00+01:00,7.4416666667
Drammen,Backeparken,PM2.5,2020-12-22T00:00:00+01:00,6.6333333333
Drammen,Backeparken,PM2.5,2020-12-23T00:00:00+01:00,10.65
Drammen,Backeparken,PM2.5,2020-12-24T00:00:00+01:00,10.025
Drammen,Backeparken,PM2.5,2020-12-25T00:00:00+01:00,8.0708333333
Drammen,Backeparken,PM2.5,2020-12-26T00:00:00+01:00,9.8916666667
Drammen,Backeparken,PM2.5,2020-12-27T00:00:00+01:00,1.7166666667
Drammen,Backeparken,PM2.5,2020-12-28T00:00:00+01:00,3.4583333333
Drammen,Backeparken,PM2.5,2020-12-29T00:00:00+01:00,5.1666666667
Drammen,Backeparken,PM2.5,2020-12-30T00:00:00+01:00,9.2291666667
Drammen,Backeparken,PM2.5,2020-12-31T00:00:00+01:00,9.8125
Drammen,Backeparken,PM2.5,2021-01-01T00:00:00+01:00,10.2791666667
Drammen,Backeparken,PM2.5,2021-01-02T00:00:00+01:00,9.4166666667
Drammen,Backeparken,PM2.5,2021-01-03T00:00:00+01:00,12.825
Drammen,Backeparken,PM2.5,2021-01-04T00:00:00+01:00,10.2833333333
Drammen,Backeparken,PM2.5,2021-01-05T00:00:00+01:00,14.8
Drammen,Backeparken,PM2.5,2021-01-06T00:00:00+01:00,8.75
Drammen,Backeparken,PM2.5,2021-01-07T00:00:00+01:00,5.3833333333
Drammen,Backeparken,PM2.5,2021-01-08T00:00:00+01:00,5.6
Drammen,Backeparken,PM2.5,2021-01-09T00:00:00+01:00,17.5875
Drammen,Backeparken,PM2.5,2021-01-10T00:00:00+01:00,28.7
Drammen,Backeparken,PM2.5,2021-01-11T00:00:00+01:00,14.375
Drammen,Backeparken,PM2.5,2021-01-12T00:00:00+01:00,33.1
